Row.names...1	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
2-D8	14	2	1	8	H1	98270002.69	11807206.9	10873200.69	14697320	2243955.8	4053218.8	1268834	3389430.53	5874.23	352453.8	88113.45	458190	587423.1	52868.07	0
2-D9	15	2	1	9	H1	60536404.21	10167550	7840109.387	14161945.6	2847829.5	3516897.8	2404643	2593355.154	37170.47	417452.967	165837.475	1172299.535	1123691.905	51466.8	8577.8
2-D10	16	2	1	10	H1	37415383.19	8845823.76	2725710.159	6342288	1031759.9	1854349.9	755395.6	1533550.615	501790.788	441099.025	74780.92	871360.163	433512.514	33597.22	2167.563
2-D11	17	2	1	11	H1	27171708.92	6451064.2	2350021.594	3985447	1925730.1	1157277	1367452	1517202.004	440054.3	450562.984	68306.929	1400291.986	345475.389	13135.95	0
2-D14	18	2	1	14	H1	23215045.86	5405673.16	1402601.128	3811657	416119.7	261878.133	326237.9	859980.892	330676.5	268536	43276.46	893825.316	133158.332	16089.97	0
2-D16	19	2	1	16	H1	32414495.25	3241281.5	1751953.131	3424221	838378.6	421433.94	867559.1	1226142.629	0	260379.982	21885.388	571264.665	112793.906	0	0
2-D18	20	2	1	18	H1	18839080	3318218	1421711	2965844	1297799	471520.6	180804.2	1062485	0	165315.2	55998.66	457223.1	153102.7	0	893.5956
2-D21AM	21	2	1	21	H1	73026738.08	17770210	6103194.459	9596662	4354387.021	1302789.4	993688.011	3794270.274	8298.021	804908.1	224046.578	2033015.272	429422.597	8298.021	2074.505
2-D21PM	22	2	1	21.5	H2	97393841.23	24606623.58	10382645.05	12445980	5165119	1950749.6	8474600	7591424.224	0	1993452.222	595900.607	3249308.434	770594.602	15528.35	7764.177
2-D22AM	23	2	1	22	H2	31834851.3	41061406.6	9035112.408	1349895	4637699	60559.668	2881468	5294087.025	17581.84	1349894.301	609503.729	666156.403	408289.375	37117.22	33210.144
2-D22PM	24	2	1	22.5	H2	37686256.11	48321072.13	14332458	1266109	5424385	17619.808	4518223	6373337.428	7551.348	2361055	1308900.256	974123.889	528594.336	80547.71	37756.739
2-D23AM	25	2	1	23	H2	10207240.6	30995139.3	3559175.589	307795.3	2170191	3124.825	1363986	2396740.724	17186.54	2043636	435913.037	353105.247	40622.724	12499.3	0
2-D23PM	26	2	1	23.5	H2	20727997.26	44557154.64	11255784.88	1039078	6563865.036	0	2678036	5299832.545	573099.7	6245179.107	1239930.602	407061.488	511504.836	10712.14	29458.394
2-D24	27	2	1	24	H2	38280801.82	82328040	25100349.3	950938.3	7668323	0	6728442	11118238.03	160332.63	23110010	3449916.041	657916.668	580514.69	88459.38	0
2-D25	28	2	1	25	H2	17006711.4	62558010	8322307.78	568727.1	4701346.4	0	3367101	5008340.756	19679.14	7706350	1594009.947	968213.563	659251.125	21647.05	25582.88
2-D28AM	29	2	1	28	H2	17624254.56	22065108.37	9858671.705	225452.4	2608011.152	1391.681	702799.1	6005105.766	54275.58	2772229	1621308.929	622081.565	680532.237	201793.8	12525.133
2-D29AM	30	2	1	29	H2	100673100	46074870	19384240	12293670	12390110	1584355	1749678	1221561	27554	3494765	1083791	2222689	3779490	55107.99	0
2-D29PM	31	2	1	29.5	H2	99898799.25	69458108.02	18090248.7	6808583	10494365.93	1719739.1	4037647.93	1398662.42	30788.17	5827760	457424.21	1970442.84	3593418.95	87966.19	0
2-D30AM	32	2	1	30	H2	161831234.6	55399114.63	39060945.4	12725340	14926678	12001313	20060693.41	1579697.53	73134.14	2091636	928803.57	2398799.8	2749843.77	197462.23	0
2-D30PM	33	2	1	30.5	H2	12310975.87	4880907.849	2737203.525	720750.559	964950.488	855215.2	1178239	84491.13	1545.569	113341.8	19577.209	299840.456	104583.537	5667.088	0
2-D31AM	34	2	1	31	H2	190828549.2	88396002.9	39268154.53	18984930	22382777.77	16106398	13710100	1728600.13	148377.7	2841433	719631.82	2982391.73	1164764.82	133539.9	51932.19
2-D31PM	35	2	1	31.5	H2	90977742.41	59754807.45	21865847.91	4591502	10194874.34	5371259.1	2466209	747116.37	18133.89	2096278	456974.097	2208708.239	587538.119	163205	0
2-D32	36	2	1	32	H2	76149954.82	35179117.36	13703105.68	8326780	5855641.5	1509844.627	1813411	692345.036	0	700333.6	213029.267	966620.101	85211.692	45268.71	2662.865
2-D33	37	2	1	33	H2	112051606.1	50394657.57	42146866.78	15393830	9660677.5	15551955	7926448	1800538.11	0	1616914	846711.98	2269800.16	606980.24	163221.6	0
2-D35AM	38	2	1	35	H2	93064445.24	31808661.97	21383372.48	10680880	7538176.671	7530978	4589864	701979.241	3599.894	755977.7	133196.06	1540754.401	230393.191	32399.04	14399.574
2-D35PM	39	2	1	35.5	H2	67662265.64	18770141.55	33916821.41	8911735	4836710.64	5141385.4	4298089	595747.85	0	731763.31	125134.28	788889.87	367241.82	32643.72	0
2-D36AM	40	2	1	36	H2	97922244.95	13012700	1149531.956	23884720	7561365.149	1215949.3	8051832.515	730591.448	689719.2	2309281.947	1979749.351	2429344.036	996261.023	163489	40872.247
2-D36PM	41	2	1	36.5	H2	114605100.9	43942232.22	471327.58	27624020	7281406.01	154087.85	20409090	782524.54	8000482.66	5109069.92	2169315.1	2698048.09	1151126.91	178258.49	24170.64
2-D37AM	42	2	1	37	H2	31302570.51	1391724.18	85046.461	429484.7	795184.435	0	2610319	9719.595	7816378	246027.249	872333.792	188924.646	190139.589	20654.14	9719.596
2-D38	43	2	1	38	H2	49553806.03	712802.87	904232.506	119838	3897070.466	3469078.6	4119627	21788.735	38047800	1237288.691	5168599.059	45133.808	664556.438	45133.81	21788.735
2-D39	44	2	1	39	H2	45027591.78	230655.81	2254859.035	703897.747	12365933.11	1578799	7112549.178	159072.948	45848800	1741848.295	7758783.356	39768.237	413589.69	93455.36	53687.12
2-D42AM	45	2	1	42	H2	22876524.25	174071	2037736.132	297025.98	19734957.05	3343268.2	3848903.612	151966.762	19862060	1297243.516	2930195.222	13815.16	142296.112	0	38682.448
2-D42PM	46	2	1	42.5	H2	28154426.89	40014.32	2834058.101	494089.9	23728491.82	4311108.5	3775264.273	123522.484	16703370	414061.3	2933224.274	12178.273	473212.9	3479.507	40014.326
2-D43AM	47	2	1	43	H2	7469983.306	11384.567	584028.311	50661.33	10141941.59	1868207.519	759350.657	22769.135	3692015	200937.628	518567.017	2276.914	96768.82	3415.37	6830.74
2-D43PM	48	2	1	43.5	H2	6558490.133	13970.68	258011.662	42506.53	5419136.883	531777.48	592118.942	9214.702	1109331	126627.8	293384.268	2377.988	86202.05	1486.242	4458.727
2-D44AM	49	2	1	44	H2	9394413.201	25599.146	412904.7748	34132.2	6142847.328	941479.8	782670.2	11851.4574	1317408	192941.7	296286.4276	474.0583	77271.495	1422.175	4740.5829
2-D44PM	50	2	1	44.5	H2	13588854.05	29026.091	495765.611	156740.9	9057301.36	1033909.244	1223159.044	19157.219	2665176.044	234530.8	575297.05	9868.87	225823	8707.827	19157.219
2-D45AM	51	2	1	45	H2	8966706.368	81658.48	81356.042	20565.84	3276319.427	58975.56	366858.3	4536.582	1054907	161502.3	207472.999	1512.194	59882.89	1512.194	1209.755
2-D45PM	52	2	1	45.5	H2	7875519.472	271622.195	39176.276	20458.72	2748433.756	37652.753	265745.7	4352.92	661208.5	102076	141469.893	1088.23	51146.803	0	2394.106
2-D46	53	2	1	46	H2	9267377.631	884958.9	213334.4387	60426.712	2865178.994	53929.2164	318160.7327	65841.2897	1121251.333	95729.77	170450.9651	6497.4959	48514.634	0	1949.2486
2-D47	54	2	1	47	H2	28315948.2	4068746.09	1969627.46	3471554	5035669.39	1812023.2	1462738	116712.34	643195.8	739462.24	269205.18	97970.22	310949	5111.49	0
2-D50AM	55	2	1	50	H2	14525898.3	854393.689	1163694.699	898177.879	1567794.359	39767.274	635472.9	68287.231	11247.31	132155.837	49407.821	233381.596	21691.235	12452.38	0
2-D50PM	56	2	1	50.5	H2	12174192.49	322954.6	1073246.072	1497430	988479.247	153070.67	438195.4	72507.161	8056.351	64450.803	39931.475	115941.441	37829.821	5604.418	0
2-D51AM	57	2	1	51	H2	15686245.67	1120105.676	1663847.111	1158168	2389061.616	252839.52	822407.984	113505.898	4757.732	93795.288	29226.069	51655.376	161762.86	6796.76	4757.732
2-D51PM	58	2	1	51.5	H2	12680665.5	1567200	947650.662	1299990.346	2867190.001	322189.41	673937.5	140108.056	14188.156	204545.946	61482.011	137152.166	161390.33	13005.81	0
2-D52AM	59	2	1	52	H2	5622314.968	34510.478	289772.3309	559686.5838	1918704.719	780245.2	111436.0919	87914.9479	159635	220944.1	16580.4509	4627.1028	6940.654	16966.04	0
2-D52PM	60	2	1	52.5	H2	17150025.24	38006.61	1171870.33	2192619	7498160.59	3681211.15	1031608.19	521233.45	941116	820761.7	135737.88	14478.71	19003.31	47960.72	0
2-D53	61	2	1	53	H2	11090089.05	62269.87	2998467.175	4419431	12754075.97	6909361.365	1034371.874	930588.591	1375126	1119127.859	326916.829	11243.171	5189.156	45837.54	10378.311
2-D54	62	2	1	54	H2	19633595.87	22285.582	4369147.502	5926793	7182995.795	3613784.1	1450908.628	871483.65	52781.65	670913.4	552447.9	0	24631.44	12902.18	0
2-D57AM	63	2	1	57	H2	58932984.3	41362.28	14199672.92	27803730	16958536.35	20213747.9	6034757.224	2088795.46	37226.06	827245.7	963741.228	28953.599	1112645.4	12408.69	0
2-D57PM	64	2	1	57.5	H2	27483613.24	0	5852273.281	10336670	7322012.597	6972766.835	2975856.312	732443.748	14551.86	589350.4	203726.082	7275.931	519016.4	0	0
2-D58AM	65	2	1	58	H2	29445483.67	20094.03	5051329.408	11730280	4493334.699	9867714.441	3946158.152	817672.475	0	981516.1	210214.498	12365.557	370966.68	9274.168	10819.863
2-D58PM	66	2	1	58.5	H2	45222920.71	19940.54	6553789.499	11880130	4471111.642	10497585.12	5545684.909	1154335.49	0	790974.6	201620.947	26587.382	538394.5	26587.38	0
2-D59AM	67	2	1	59	H2	45328654.59	20515.34	5963127.243	13485420	5026260.115	12131406.89	3477351.051	1025767.269	0	1292467	283795.569	27353.793	430822.23	47869.14	3419.224
2-D59PM	68	2	1	59.5	H2	78559261.68	14676.66	13478063.77	10733530	7436171.552	14911483.62	6790399.788	699587.307	0	1565510	161443.225	14676.657	352239.73	29353.31	4892.219
2-D60AM	69	2	1	60	H2	128899885	135189.8	28546385.92	38657160	14102426.45	31278642.09	8879832.78	2049192.22	0	6232960	369993.01	35576.25	1693429.5	21345.75	0
2-D60PM	70	2	1	60.5	H2	23114958.09	14246.276	3197914.431	5828975.8	1696806.392	2058211.923	1155448.216	381650.227	0	445383.6	222691.794	5998.432	146211.792	11247.06	2249.412
2-D61	71	2	1	61	H2	34287935.32	39740.96	7404593.203	8674885	3656168.303	9720923.795	2638516.609	478310.891	8515.921	1338419	160383.163	7096.601	251219.69	22709.12	5677.281
2-D62	72	2	1	62	H2	108975431.2	56304.82	24789476.92	14895190	8804027.05	17751375.16	8379181.86	1028842.66	10237.24	1602128	271286.84	5118.62	455557.19	35830.34	0
2-D63	73	2	1	63	H2	3853349.12	3860.72	1613429.796	1496204	496979.8825	1345285.245	286746.1881	81777.0621	0	104590.4	7019.4905	2105.847	34395.497	2456.822	701.949
2-D64AM	74	2	1	64	H2	42775020.36	16260.73	15410528.2	9324368	4348584.157	7463676.094	2346191.118	336829.446	4645.923	1084823	53428.118	2322.962	269463.6	6968.885	0
2-D64PM	75	2	1	64.5	H2	138558398.5	202176.7	59515751.95	20301910	13857525.72	20638864.77	8887348.97	1465780.85	0	2485088	219024.75	50544.17	1019307.4	0	0
3-D0AM	76	3	2	0	H1	13061.36824	22.25105	1208.973859	192.8425	81.58719	0	0	875.20808	89.00422	0	1757.833318	7.417018	0	59.33614	0
3-D0PM	77	3	2	0.5	H1	132427.607	3848.811	1140.3883	0	13542.108	5559.393	1282.937	4133.9074	7269.9756	0	861278.3997	5274.2968	570.1942	0	0
3-D1AM	78	3	2	1	H1	44960934.45	634070.975	17683.258	0	12138291.75	409241.04	0	10104.72	14500267.1	2526.179	176832.558	7578.537	0	252617.9	0
3-D1PM	79	3	2	1.5	H1	17430112.93	25009.67	24465.983	9242.706	768775.697	1631.066	0	183223.05	4610478.81	0	8699.017	1631.066	0	32621.31	0
3-D2AM	80	3	2	2	H1	7598104.559	330260.5177	257679.9777	1152.072	572387.5588	1344.0836	221005.7	131720.1954	1123462.04	434139.0148	15744.98	1536.096	1536.0955	27841.73	0
3-D2PM	81	3	2	2.5	H1	24554420.15	4449847.291	2087647.606	2631.489	1879760.104	49121.124	773657.6	592962.073	4270029.2	1995545.68	88593.45	9648.792	21051.91	226308	0
3-D3AM	82	3	2	3	H1	7575684.269	1556360.899	525757.3246	995.7524	680596.877	18670.358	502606	253667.9447	719431.184	352247.4105	22404.427	17674.6043	8961.772	14687.35	0
3-D3PM	83	3	2	3.5	H1	72860882.17	15343044.27	6661523.61	19803.86	4745500.37	136151.55	3861753	2663619.49	4797485.9	1086737.34	101494.8	514900.37	89117.37	99019.31	0
3-D4AM	84	3	2	4	H1	9627279.978	1591476.456	1033736.801	0	325071.4572	25825.643	326493.0931	155427.7688	318911.25	110884.4187	20376.2028	95246.8896	31275.094	3317.056	0
